"ID","地域","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"525","金沢市","36.551844","136.588753","公園","","","","","","上荒屋史跡公園","奈良時代から平安時代にかけての荘園跡である国史跡「東大寺領横江荘遺跡上荒屋遺跡」を整備した史跡公園です。公園内には発掘調査で見つかった運河跡や荘家跡などが立体的に再現されています。","921-8065","金沢市上荒屋７丁目４９","","","","終日","なし","なし","","http://www4.city.kanazawa.lg.jp/11104/bunkazaimain/shiteibunkazai/kinenbutsu/kamiarayaiseki.html"
"526","金沢市","36.556141","136.604712","公園","","","","","","チカモリ遺跡公園","巨大な縄文時代の木柱根が発掘されたことで有名な国史跡「チカモリ遺跡」を整備した遺跡公園です。公園内には発掘調査で見つかった環状木柱列など縄文時代後・晩期の遺構が復元されています。","921-8062","金沢市新保本５丁目４7","076-240-2371","076-240-2371","","終日","なし","なし","","http://www4.city.kanazawa.lg.jp/11104/bunkazaimain/shiteibunkazai/kinenbutsu/tikamori.html"
"527","金沢市","36.632565","136.623341","公園","","","","","","あかしあ台公園","","920-0226","金沢市粟崎町4-10-40","","","","","","","",""
"528","金沢市","36.632602","136.625201","公園","","","","","","あかしあ台緑地","　","920-0226","金沢市粟崎町4-4-1","","","","","","","",""
"529","金沢市","36.590111","136.581752","公園","","","","","","赤土町小公園","　","920-0353","金沢市赤土町ワ104-4","","","","","","","",""
"530","金沢市","36.6017","136.598764","公園","","","","","","あけぼの児童公園"," ","920-0335","金沢市金石東1-61-2","","","","","","","",""
"531","金沢市","36.601833","136.596341","公園","","","","","","あけぼの第１緑地"," ","920-0335","金沢市金石東3-44","","","","","","","",""
"532","金沢市","36.55558","136.684946","公園","","","","","","浅野川すずかけ公園","　","920-1167","金沢市もりの里2-1000","","","","","","","",""
"533","金沢市","36.583562","136.664258","公園","","","","","","浅野本町第１児童公園","　","920-0841","金沢市浅野本町137","","","","","","","",""
"534","金沢市","36.584231","136.660683","公園","","","","","","浅野本町第２児童公園","　","920-0841","金沢市浅野本町2-125","","","","","","","",""
"535","金沢市","36.584465","136.657661","公園","","","","","","浅野本町第３児童公園","　","920-0848","金沢市京町59","","","","","","","",""
"536","金沢市","36.550842","136.687881","公園","","","","","","旭町河畔公園"," ","920-0941","金沢市旭町1-52","","","","","","","",""
"537","金沢市","36.553768","136.6840009","公園","","","","","","旭町中央公園","","920-0941","金沢市旭町2-207","","","","","","","",""
"538","金沢市","36.555601","136.681364","公園","","","","","","旭町なかよし公園"," ","920-0941","金沢市旭町2-8","","","","","","","",""
"539","金沢市","36.518045","136.620208","公園","","","","","","あすなろ公園","","921-8149","金沢市額新町1-31","","","","","","","トイレ：男女兼用,小便2,和式1",""
"540","金沢市","36.562881","136.623852","公園","","","","","","あすなろの森","","921-8015","金沢市東力4-90","","","","","","","トイレ：男女兼用,小便2,和式1",""
"541","金沢市","36.568965","136.648111","公園","","","","","","穴水町児童公園","　","920-0867","金沢市長土塀1-152","","","","","","","トイレ：男子,小便2,和式1,女子,和式2,小児用小便1",""
"542","金沢市","36.616303","136.685232","公園","","","","","","荒屋八幡公園","　","920-3124","金沢市荒屋1-96","","","","","","","",""
"543","金沢市","36.613143","136.683795","公園","","","","","","荒屋町児童公園","　","920-3125","金沢市荒屋町イ208","","","","","","","",""
"544","金沢市","36.613802","136.685316","公園","","","","","","荒屋町小公園","　","920-3125","金沢市荒屋町イ39-5","","","","","","","",""
"545","金沢市","36.612226","136.68431","公園","","","","","","荒屋町南小公園","　","920-3125","金沢市荒屋町イ167","","","","","","","",""
"546","金沢市","36.543507","136.640847","公園","","","","","","有松きぶね公園","　","921-8161","金沢市有松2-615","","","","","","","",""
"547","金沢市","36.540372","136.636573","公園","","","","","","有松児童遊園","　","921-8161","金沢市有松4-155","","","","","","","トイレ：男女兼用,小便1,和式1,バリアフリー対応便器1",""
"548","金沢市","36.540743","136.640391","公園","","","","","","有松たつあがり公園","　","921-8161","金沢市有松3-33","","","","","","","トイレ：男女兼用,小便1,和式1",""
"549","金沢市","36.627477","136.631441","公園","","","","","","粟崎町東小公園","　","920-0226","金沢市粟崎町ヌ26-9","","","","","","","",""
"550","金沢市","36.620809","136.626724","公園","","","","","","粟崎町南小公園","　","920-0226","金沢市粟崎町ホ41-12","","","","","","","",""
"551","金沢市","36.625387","136.618638","公園","","","","","","粟崎町４丁目西緑地","　","920-0226","金沢市粟崎町4-103","","","","","","","",""
"552","金沢市","36.626854","136.621475","公園","","","","","","粟崎第１公園","　","920-0226","金沢市粟崎町3-242","","","","","","","トイレ：男女兼用,小便2,和式2",""
"553","金沢市","36.625158","136.625102","公園","","","","","","粟崎第２公園","　","920-0226","金沢市粟崎町3-46","","","","","","","",""
"554","金沢市","36.628013","136.626064","公園","","","","","","粟崎中央公園","　","920-0226","金沢市粟崎町2-247","","","","","","","トイレ：男女兼用,小便1,和式1",""
"555","金沢市","36.626066","136.628533","公園","","","","","","粟崎町１丁目小公園","　","920-0226","金沢市粟崎町1-1-2","","","","","","","",""
"556","金沢市","36.633994","136.62168","公園","","","","","","粟崎町４丁目児童公園","　","920-0226","金沢市粟崎町4-6","","","","","","","トイレ：男子,小便2,和式1,女子,和式1,洋式1,小児用小便1,バリアフリー対応便器2",""
"557","金沢市","36.629218","136.623329","公園","","","","","","粟崎町４丁目東緑地","　","920-0226","金沢市粟崎町4-77-1","","","","","","","",""
"558","金沢市","36.626442","136.620618","公園","","","","","","粟崎町５丁目緑地","　","920-0226","金沢市粟崎町5-1","","","","","","","",""
"559","金沢市","36.623567","136.627447","公園","","","","","","粟崎町北前公園","　","920-0226","金沢市粟崎町へ10－1","","","","","","","",""
"560","金沢市","36.627497","136.623638","公園","","","","","","粟崎町住宅公園","　","920-0226","金沢市粟崎町3-168-2","","","","","","","",""
"561","金沢市","36.620339","136.623401","公園","","","","","","粟崎みなと台公園","　","920-0226","金沢市粟崎町ヲ26-6","","","","","","","",""
"562","金沢市","36.552355","136.687703","公園","","","","","","医王の杜公園","　","920-1167","金沢市もりの里1-1001","","","","","","","",""
"563","金沢市","36.554243","136.67263","公園","","","","","","石引１丁目児童公園","　","920-0935","金沢市石引1-379","","","","","","","",""
"564","金沢市","36.556403","136.665454","公園","","","","","","石引４丁目緑地","　","920-0935","金沢市石引4-321","","","","","","","",""
"565","金沢市","36.552434","136.678398","公園","","","","","","石引児童公園","　","920-0942","金沢市小立野4-18","","","","","","","",""
"566","金沢市","36.545428","136.646286","公園","","","","","","泉が丘１丁目児童公園","　","921-8035","金沢市泉が丘1-382-1","","","","","","","",""
"567","金沢市","36.5471","136.647219","公園","","","","","","泉が丘１丁目致芳公園","　","921-8035","金沢市泉が丘1-832","","","","","","","",""
"568","金沢市","36.544256","136.648582","公園","","","","","","泉が丘おあしす広場","　","921-8035","金沢市泉が丘1-72","","","","","","","",""
"569","金沢市","36.546016","136.641322","公園","","","","","","いずみ公園","　","921-8041","金沢市泉3-57","","","","","","","",""
"570","金沢市","36.545033","136.651655","公園","","","","","","泉野第１児童公園"," ","921-8034","金沢市泉野町4-55","","","","","","","",""
"571","金沢市","36.544744","136.649788","公園","","","","","","泉野第２児童公園"," ","921-8034","金沢市泉野町4-165","","","","","","","",""
"572","金沢市","36.543947","136.654254","公園","","","","","","泉野第３児童公園"," ","921-8034","金沢市泉野町5-51","","","","","","","",""
"573","金沢市","36.542944","136.649616","公園","","","","","","泉野第４児童公園"," ","921-8034","金沢市泉野町6-122","","","","","","","",""
"574","金沢市","36.542047","136.650985","公園","","","","","","泉野第５児童公園"," ","921-8034","金沢市泉野町6-190","","","","","","","",""
"575","金沢市","36.546155","136.655359","公園","","","","","","泉野第６児童公園"," ","921-8034","金沢市泉野町1-392","","","","","","","",""
"576","金沢市","36.540359","136.652735","公園","","","","","","泉野出町１丁目小公園"," ","921-8116","金沢市泉野出町1-601","","","","","","","",""
"577","金沢市","36.540729","136.650675","公園","","","","","","泉野出町３丁目小公園","　","921-8116","金沢市泉野出町3-5014","","","","","","","",""
"578","金沢市","36.537557","136.650961","公園","","","","","","泉野出町第１公園","　","921-8116","金沢市泉野出町2-1601","","","","","","","",""
"579","金沢市","36.539416","136.656189","公園","","","","","","泉野出町第２児童公園"," ","921-8116","金沢市泉野出町１丁目２１−４","","","","","","","",""
"580","金沢市","36.535607","136.65219","公園","","","","","","泉野出町第３児童公園","　","921-8116","金沢市泉野出町4-1533","","","","","","","",""
"581","金沢市","36.545","136.655284","公園","","","","","","泉野町一丁目たけのこ小公園","　","921-8034","金沢市泉野町1-188-16","","","","","","","",""
"582","金沢市","36.546421","136.652235","公園","","","","","","泉野町２丁目小公園","　","921-8034","金沢市泉野町2-379","","","","","","","",""
"583","金沢市","36.549122","136.653322","公園","","","","","","泉野町２丁目第２小公園","　","921-8034","金沢市泉野町2-9","","","","","","","",""
"584","金沢市","36.548429","136.652954","公園","","","","","","泉野町２丁目第３小公園","　","921-8034","金沢市泉野町2-131-4","","","","","","","",""
"585","金沢市","36.548742","136.651349","公園","","","","","","泉野町３丁目緑地","　","921-8034","金沢市泉野町3-164","","","","","","","",""
"586","金沢市","36.552535","136.636875","公園","","","","","","泉本町５丁目小公園","　","921-8042","金沢市泉本町5-40-5","","","","","","","",""
"587","金沢市","36.554241","136.632666","公園","","","","","","泉本町あすなろ公園","","921-8042","金沢市泉本町7-10-18","","","","","","","",""
"588","金沢市","36.550302","136.638524","公園","","","","","","泉本町児童公園"," ","921-8042","金沢市泉本町2-127","","","","","","","",""
"589","金沢市","36.576239","136.624883","公園","","","","","","出雲中央公園","  ","920-0056","金沢市出雲町イ418","","","","","","","トイレ：男女兼用,小便1,和式1,バリアフリー対応便器1",""
"590","金沢市","36.59319","136.656597","公園","","","","","","磯部町緑地","　","920-0012","金沢市磯部町ル6-1","","","","","","","",""
"591","金沢市","36.557645","136.630003","公園","","","","","","糸田新町ふれあい公園","　","921-8026","金沢市糸田新町181","","","","","","","",""
"592","金沢市","36.557648","136.627002","公園","","","","","","糸田第１児童公園","　","921-8014","金沢市糸田1-139","","","","","","","トイレ：男女兼用,小便1,和式1",""
"593","金沢市","36.559312","136.622962","公園","","","","","","糸田第２児童公園","　","921-8014","金沢市糸田2-207","","","","","","","",""
"594","金沢市","36.552449","136.582627","公園","","","","","","いなほふれあい公園","","920-0378","金沢市いなほ1-8","","","","","","","トイレ：男女兼用,小便1,和式1",""
"595","金沢市","36.629795","136.708315","公園","","","","","","今町小公園","　","920-0106","金沢市今町ワ17-9","","","","","","","",""
"596","金沢市","36.628209","136.703228","公園","","","","","","今町第三小公園","　","920-0106","金沢市今町ヨ30-12","","","","","","","",""
"597","金沢市","36.627655","136.702761","公園","","","","","","今町第二小公園","　","920-0106","金沢市今町ヨ26-12","","","","","","","",""
"598","金沢市","36.566282","136.626857","公園","","","","","","入江第１児童公園","","921-8011","金沢市入江2-250","","","","","","","トイレ：男女兼用,小便2,和式1",""
"599","金沢市","36.568905","136.624848","公園","","","","","","入江第２児童公園"," ","921-8011","金沢市入江3-220","","","","","","","",""
